Periodo,Tasa_participacion_Total,Tasa_participacion_Hombres,Tasa_participacion_Mujeres,Tasa_subocupacion,Tasa_desocupacion_Total,Tasa_desocupacion_Hombres,Tasa_desocupacion_Mujeres,Tasa_informalidad,Tasa_ocupacion_Total,Tasa_ocupacion_parcial_Total,Tasa_participacion_urbana,Tasa_desocupacion_urbana,Tasa_subocupacion_urbana,Tasa_informalidad_urbana
jun-10,59.96,79.4,42.71,8.48,5.19,5.37,4.82,58.68,94.81,11.04,61.81,6.6,7.3,47.22
jul-10,59.58,78.61,42.42,8.24,5.32,5.36,5.22,59.12,94.68,11.62,61.54,6.33,7.75,47.68
ago-10,60.26,78.75,43.38,8.65,4.97,4.81,5.14,58.81,95.03,11.27,61.41,5.66,7.53,47.47
sep-10,59.6,78.51,42.8,8.17,5.21,5.33,4.98,59.03,94.79,12.72,61.65,6.3,7.91,48.39
oct-10,59.03,78.34,41.78,8.34,5.42,5.59,5.08,59.3,94.58,11.84,60.62,6.38,7.09,47.82
nov-10,58.88,78.04,41.45,7.46,5.35,5.56,5.0,58.78,94.65,10.76,60.35,6.28,5.87,47.21
dic-10,58.63,77.77,41.42,7.45,5.47,5.68,5.26,59.07,94.53,10.45,59.89,6.77,5.68,48.25
ene-11,59.19,78.4,41.7,7.86,5.11,5.2,4.99,59.57,94.89,11.1,60.65,6.01,6.38,47.76
feb-11,59.19,78.18,42.01,8.06,5.28,5.38,5.12,58.86,94.72,11.01,61.72,5.96,6.77,47.68
mar-11,59.36,78.46,42.13,8.33,5.06,5.2,4.8,59.14,94.94,10.02,61.12,5.92,6.87,48.61
abr-11,59.43,78.31,42.34,8.3,5.17,5.13,5.27,59.19,94.83,11.27,60.47,5.37,7.03,46.53
may-11,59.39,78.25,42.27,8.13,5.35,5.42,5.23,58.88,94.65,11.12,61.48,6.16,6.49,47.92
jun-11,59.62,78.4,42.68,8.11,5.58,5.4,5.87,59.43,94.42,11.29,60.93,6.23,6.88,47.82
jul-11,59.85,78.71,42.89,8.53,5.27,5.25,5.29,58.88,94.73,11.09,61.26,6.14,6.8,47.37
ago-11,59.9,78.59,42.89,8.76,5.34,5.23,5.44,59.83,94.66,11.59,61.52,5.96,7.83,48.56
sep-11,60.24,78.8,43.27,8.75,5.24,5.06,5.42,59.81,94.76,12.18,61.53,5.86,7.62,48.49
oct-11,60.68,78.68,44.79,8.91,4.81,4.86,4.77,58.95,95.19,12.35,62.23,5.79,7.56,46.85
nov-11,60.45,79.06,43.76,9.4,5.06,5.01,5.2,59.67,94.94,11.7,62.06,5.92,7.11,48.03
dic-11,60.7,78.95,44.22,8.88,5.03,5.05,5.07,59.37,94.97,10.86,62.22,5.57,7.1,47.53
ene-12,60.36,78.84,43.65,8.59,4.67,4.57,4.91,59.62,95.33,11.09,61.92,5.56,6.88,48.22
